Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR7821918_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	36220112.0	pass	fail	pass	49.0	46.3826543911	SRR7821918_1.fastq.gz	pass
SRR7821918_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	36220112.0	pass	warn	pass	50.0	41.232094557	SRR7821918_2.fastq.gz	pass
SRR7821919_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	36285942.0	pass	fail	pass	50.0	47.8486688721	SRR7821919_1.fastq.gz	pass
SRR7821919_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	36285942.0	pass	warn	pass	50.0	42.8508207518	SRR7821919_2.fastq.gz	pass
SRR7821920_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	39982873.0	pass	fail	warn	50.0	43.0743648253	SRR7821920_1.fastq.gz	pass
SRR7821920_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	39982873.0	pass	warn	warn	50.0	38.5661905581	SRR7821920_2.fastq.gz	pass
SRR7821921_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	40592768.0	pass	fail	pass	49.0	49.1841921271	SRR7821921_1.fastq.gz	pass
SRR7821921_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	40592768.0	pass	warn	pass	49.0	43.0250899675	SRR7821921_2.fastq.gz	pass
SRR7821922_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	37737087.0	pass	fail	pass	49.0	47.906179966	SRR7821922_1.fastq.gz	pass
SRR7821922_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	37737087.0	pass	warn	pass	50.0	44.2934613768	SRR7821922_2.fastq.gz	pass
SRR7821937_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	warn	44881449.0	pass	fail	pass	50.0	37.9639303515	SRR7821937_1.fastq.gz	pass
SRR7821937_2	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	pass	44881449.0	pass	warn	warn	50.0	40.121382282	SRR7821937_2.fastq.gz	pass
SRR7821938_1	pass	0.0	fail	76.0	Sanger / Illumina 1.9	pass	pass	76.0	Conventional base calls	pass	warn	40988016.0	pass	fail	warn	53.0	35.9260730899	SRR7821938_1.fastq.gz	pass
