Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR7821918_1	53.6173456089	76.0	36220112.0	20.0	49.0
SRR7821918_2	58.767905443	76.0	36220112.0	10.0	50.0
SRR7821919_1	52.1513311279	76.0	36285942.0	20.0	50.0
SRR7821919_2	57.1491792482	76.0	36285942.0	10.0	50.0
SRR7821920_1	56.9256351747	76.0	39982873.0	20.0	50.0
SRR7821920_2	61.4338094419	76.0	39982873.0	10.0	50.0
SRR7821921_1	50.8158078729	76.0	40592768.0	20.0	49.0
SRR7821921_2	56.9749100325	76.0	40592768.0	10.0	49.0
SRR7821922_1	52.093820034	76.0	37737087.0	20.0	49.0
SRR7821922_2	55.7065386232	76.0	37737087.0	10.0	50.0
SRR7821937_1	62.0360696485	76.0	44881449.0	20.0	50.0
SRR7821937_2	59.878617718	76.0	44881449.0	10.0	50.0
SRR7821938_1	64.0739269101	76.0	40988016.0	20.0	53.0
SRR7821938_2	60.3401153478	76.0	40988016.0	10.0	53.0
SRR7821939_1	61.8494086011	76.0	46697727.0	20.0	49.0
SRR7821939_2	60.0300084113	76.0	46697727.0	10.0	49.0
SRR7821949_1	74.2550382538	75.4998703965	29659690.0	20.0	49.0
SRR7821949_2	63.6523000528	75.495581208	29659690.0	20.0	49.0
SRR7821950_1	72.6123989244	75.4945725508	22228490.0	20.0	50.0
SRR7821950_2	60.8859615524	75.4908168751	22228490.0	20.0	50.0
SRR7821951_1	71.0304405333	75.4961443771	32968214.0	20.0	49.0
SRR7821951_2	60.0472477285	75.4912017072	32968214.0	20.0	50.0
SRR7821952_1	67.9288173098	75.4968349672	22952527.0	20.0	49.0
SRR7821952_2	56.2312680172	75.4884871718	22952527.0	20.0	49.0
SRR7821953_1	69.7936698254	75.5005969764	21144888.0	20.0	49.0
SRR7821953_2	59.3528870472	75.4913935226	21144888.0	20.0	49.0
SRR7821968_1	87.6596727937	75.5333053083	30774869.0	20.0	49.0
SRR7821968_2	82.3115709375	75.514596959	30774869.0	20.0	49.0
SRR7821969_1	85.7917776105	75.5132849042	18844848.0	30.0	52.0
SRR7821969_2	77.6078597291	75.497753179	18844848.0	30.0	53.0
SRR7821970_1	88.0221587649	75.5233832389	25454472.0	20.0	50.0
SRR7821970_2	83.5123315179	75.5154051123	25454472.0	20.0	50.0
