Geneid	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821918.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821919.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821920.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821921.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821922.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821937.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821938.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821939.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821949.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821950.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821951.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821952.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821953.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821968.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821969.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821970.sorted.bam
ENSMUSG00000102628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097426	20	18	8	14	3	48	13	11	0	0	0	0	0	0	1	0
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	3	1	2	4	1	3	10	6	6	1	2	0	1	1	3	1
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	1	3	7	3	7	3	0	11	3	3	2	4	0	3	0	0
ENSMUSG00000102095	34	22	25	20	5	71	11	29	2	0	0	0	0	0	14	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	6	11	5	12	19	14	8	29	3	6	1	6	8	7	0	0
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	0	1	0	1	0	0	0	1	0	2	1	1	0	0	0
ENSMUSG00000051285	2834	2745	2770	3073	2593	3336	1470	3872	1070	842	1218	897	623	1594	558	1318
ENSMUSG00000098201	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000103509	39	99	120	98	86	14	11	94	50	12	50	31	12	9	8	8
ENSMUSG00000048538	11	10	10	7	10	6	9	1	2	3	10	5	3	0	0	1
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	3	7	1	2	2	13	8	13	1	4	1	2	2	0	0	4
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
ENSMUSG00000026312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	128	175	130	168	126	45	31	81	265	128	178	165	130	12	25	20
ENSMUSG00000118715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	709	649	605	781	798	847	790	1063	469	427	601	457	462	275	142	173
ENSMUSG00000047216	26	7	16	10	9	132	26	112	0	0	0	0	0	1	0	0
ENSMUSG00000102788	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000102160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100701	3	0	0	3	0	1	1	1	0	1	4	0	1	0	1	0
ENSMUSG00000100555	0	0	3	0	1	4	4	0	0	0	1	0	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	407	419	377	399	453	698	257	822	28	40	60	50	58	35	28	40
ENSMUSG00000101875	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	1262	1351	1097	1422	1279	1583	2182	1655	1373	1030	1482	1132	961	488	279	384
ENSMUSG00000055214	1	2	4	5	3	0	10	3	0	0	0	0	0	4	0	0
ENSMUSG00000078184	9	7	10	2	5	2	11	7	7	8	7	3	5	1	0	0
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000102605	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000025909	20	11	13	15	11	8	6	22	0	0	0	0	1	6	0	11
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	3	1	5	4	8	7	8	7	1	1	1	2	1	10	2	1
ENSMUSG00000102253	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
